,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
21,0,0,0,0,0.0,251,0.00,0.00,0.00,0.00,178,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,18,0,0,0,0,18,0,1311,0,1,2,0.0,0,-23,0,23,44,False,0
22,0,0,0,0,0.0,251,0.00,0.00,0.00,0.00,164,0,0,0.0,0.0,2023-12-16T17:30:00Z,0,6,0,0,0,0,17,0,1334,0,2,0,0.0,0,-12,0,12,44,False,0
23,0,0,0,0,0.0,251,0.00,0.00,0.00,0.00,154,0,0,0.0,0.0,2023-12-10T14:00:00Z,0,7,0,0,0,0,16,0,1345,0,0,2,0.0,0,-10,0,10,44,True,0
24,0,0,0,0,0.0,251,0.00,0.00,0.00,0.00,144,0,0,0.0,0.0,2023-12-07T19:30:00Z,0,15,0,0,0,0,15,0,1356,0,0,3,0.0,0,-15,0,15,44,True,0
25,0,0,0,0,0.0,251,0.00,0.00,0.00,0.00,139,0,0,0.0,0.0,2023-12-02T17:30:00Z,0,16,0,0,0,0,14,0,1371,0,1,0,0.0,0,-18,0,18,44,False,0
26,0,0,0,0,0.0,251,0.00,0.00,0.00,0.00,123,0,0,0.0,0.0,2023-11-26T16:30:00Z,0,14,0,0,0,0,13,0,1389,0,3,0,0.0,0,-29,0,29,44,True,0
27,0,0,0,0,0.0,251,0.00,0.00,0.00,0.00,116,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,8,0,0,0,0,12,0,1416,0,3,2,0.0,0,-32,0,32,44,False,0
28,0,0,0,0,0.0,251,0.00,0.00,0.00,0.00,103,0,0,0.0,0.0,2023-11-04T15:00:00Z,0,5,0,0,0,0,11,0,1450,0,1,1,0.0,0,-50,0,50,44,True,0
29,0,0,0,0,0.0,251,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2023-10-29T13:00:00Z,0,19,0,0,0,0,10,0,1498,0,1,0,0.0,0,-57,0,57,44,False,0
30,0,0,0,0,0.0,251,0.00,0.00,0.00,0.00,85,0,0,0.0,0.0,2023-10-21T11:30:00Z,0,11,0,0,0,0,9,0,1556,0,0,2,0.0,0,-79,0,79,44,False,0
31,0,0,0,0,0.0,251,0.00,0.00,0.00,0.00,75,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,3,0,0,0,0,8,0,1627,0,0,3,0.0,0,-83,0,83,44,True,0
32,0,0,0,0,0.0,251,0.00,0.00,0.00,0.00,63,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,12,0,0,0,0,7,0,1709,0,2,1,0.0,0,-154,0,154,44,True,0
33,0,0,0,0,0.0,251,0.00,0.00,0.00,0.00,52,0,0,0.0,0.0,2023-09-23T16:30:00Z,0,4,0,0,0,0,6,0,1865,0,3,1,0.0,0,-222,0,222,44,False,0
34,0,0,0,0,0.0,251,0.00,0.00,0.00,0.00,43,0,0,0.0,0.0,2023-09-17T15:30:00Z,0,1,0,0,0,0,5,0,2072,0,1,0,0.0,0,-511,2,513,44,True,0
35,0,0,0,0,0.0,251,0.00,0.00,0.00,0.00,40,0,0,0.0,0.0,2023-09-02T11:30:00Z,0,17,0,0,0,0,4,0,2592,0,2,2,0.0,0,-186,128,314,44,False,0
36,0,0,0,0,0.0,251,0.00,0.00,0.00,0.00,27,0,0,0.0,0.0,2023-08-26T14:00:00Z,0,20,0,0,0,0,3,0,2615,0,1,0,0.0,0,-346,53,399,45,True,0
37,0,0,0,0,0.0,251,0.00,0.00,0.00,0.00,11,0,0,0.0,0.0,2023-08-20T13:00:00Z,0,2,0,0,0,0,2,0,2860,0,0,4,0.0,0,-251,147,398,45,False,0
